Cancer-associated fibroblast	ENSG00000091986.16
Dendritic cell	ENSG00000204287.14
Endothelial cell	ENSG00000007908.16
Endothelial cell of vascular tree	ENSG00000184113.10
Keratinocyte	ENSG00000230937.13
Macrophage	ENSG00000110077.15
Mast cell	ENSG00000118515.12
Melanocyte	ENSG00000157404.17
Monocyte	ENSG00000274767.1
Neoplastic cell	ENSG00000107165.13
Plasma cell	ENSG00000008988.11
Regulatory T cell	ENSG00000172183.16
Smooth muscle cell	ENSG00000133392.19
T cell	ENSG00000160588.10
