B cell	BANK1
CD14-low, CD16-positive monocyte	HLA-DRA
CD14-positive monocyte	CD14
CD1C+ B dendritic cell	PTPRE
CD4-positive, CD25-positive, alpha-beta regulatory T cell	RNF145
Effector memory CD4-positive, alpha-beta T cell	IL7R
Effector memory CD8-positive, alpha-beta T cell	GZMB
Lymphocyte	ARL4C
Monocyte	NAMPT
Myeloid cell	TYMP
Naive T cell	CD8B
Naive thymus-derived CD4-positive, alpha-beta T cell	NOSIP
Naive thymus-derived CD8-positive, alpha-beta T cell	TCF7
Natural killer cell	CCL4
Plasmacytoid dendritic cell	IRF7
Platelet	ENSG00000267279.3
T cell	TRAC
