Cardiomyocytes (Ventricular)	ENSG00000134571.12
Endothelial Cells (Arterial)	ENSG00000172889.16
Endothelial Cells (Capillary)	ENSG00000172889.16
Endothelial Cells (Venous)	ENSG00000074181.9
Immune Cells (Macrophages)	ENSG00000177575.13
Immune Cells (Monocytes)	ENSG00000177575.13
Neuronal Cells	ENSG00000179915.25
Pericytes	ENSG00000069431.14
Smooth Muscle Cells (Basic)	ENSG00000107796.14
