B cell	LUC7L3
Cancer-associated fibroblast	DPT
Endothelial cell	GIMAP7
Fibroblast	FN1
Helper T cell	IL3
Keratinocyte	HOPX
Macrophage	SPI1
Merkel cell	ENSG00000289902.1
Myeloid cell	ENSG00000289702.1
Neoplastic cell	PLEKHA4
Pericyte	GABRG1
Plasma cell	GPRC5D
Progenitor cell	MTND5P19
Regulatory T cell	MT-ND2
Smooth muscle cell	PCP4
T cell	CD96
Tissue resident memory T cell	ITM2B
