Cardiomyocytes (Ventricular)	ENSG00000154556.20
Endothelial Cells (Arterial)	ENSG00000166710.23
Endothelial Cells (Capillary)	ENSG00000125968.9
Endothelial Cells (Venous)	ENSG00000113721.14
Fibroblasts	ENSG00000111341.10
Immune Cells (Macrophages)	ENSG00000019582.17
Immune Cells (Monocytes)	ENSG00000170458.15
Mesothelial Cells	ENSG00000214460.3
Pericytes	ENSG00000113721.14
Smooth Muscle Cells (Basic)	ENSG00000107796.14
