Adipocytes	ENSG00000163453.11
Cardiomyocytes (Ventricular)	ENSG00000198523.6
Endothelial Cells (Atrial)	ENSG00000113389.16
Endothelial Cells (Lymphatic)	ENSG00000117707.17
Immune Cells (Macrophages)	ENSG00000204287.14
Immune Cells (Monocytes)	ENSG00000143546.10
Mesothelial Cells	ENSG00000184937.16
Neuronal Cells	ENSG00000175445.17
Smooth Muscle Cells (Basic)	ENSG00000143248.13
