Cardiomyocytes (Ventricular)	ENSG00000164309.15
Endothelial Cells (Atrial)	ENSG00000251562.11
Endothelial Cells (Capillary)	ENSG00000125968.9
Endothelial Cells (Venous)	ENSG00000127954.13
Fibroblasts	ENSG00000011465.18
Immune Cells (Monocytes)	ENSG00000172216.6
Neuronal Cells	ENSG00000113721.14
Pericytes	ENSG00000069431.14
Smooth Muscle Cells (Basic)	ENSG00000143248.13
