B cell	ENSG00000196735.13
Cancer-associated fibroblast	ENSG00000091986.16
Endothelial cell	ENSG00000184113.10
Endothelial cell of vascular tree	ENSG00000007908.16
Fibroblast	ENSG00000142156.16
Keratinocyte	ENSG00000196754.13
Macrophage	ENSG00000237541.4
Mast cell	ENSG00000127074.15
Natural killer cell	ENSG00000259467.1
Smooth muscle cell	ENSG00000154556.20
T cell	ENSG00000271503.7
