B cell DEGs	ENSG00000172995.17,ENSG00000086730.17
Basophil DEGs	ENSG00000021355.13,ENSG00000179348.13
Endothelial DEGs	ENSG00000276409.5,ENSG00000167874.7
Fibroblast DEGs	ENSG00000104332.12,ENSG00000164761.9
Macrophage DEGs	ENSG00000112212.12,ENSG00000172331.12
Mig. cDC DEGs	ENSG00000223865.12,ENSG00000104894.12
Monocyte DEGs	ENSG00000243955.6,ENSG00000198417.7
Neutrophil DEGs	ENSG00000004939.16,ENSG00000130560.9
cDC1 DEGs	ENSG00000019582.17,ENSG00000204287.14
