Cardiomyocytes (Ventricular)	ENSG00000121769.8
Endothelial Cells (Arterial)	ENSG00000165949.13
Endothelial Cells (Capillary)	ENSG00000176435.7
Fibroblasts	ENSG00000135744.9
Immune Cells (Macrophages)	ENSG00000204287.14
Immune Cells (Monocytes)	ENSG00000163563.8
Neuronal Cells	ENSG00000123560.14
Pericytes	ENSG00000121361.5
Smooth Muscle Cells (Basic)	ENSG00000109610.6
