B cell DEGs	ENSG00000086730.17
Basophil DEGs	ENSG00000163751.4
Circ. NK NKT cell DEGs	ENSG00000189013.16
Endothelial DEGs	ENSG00000100362.13
Fibroblast DEGs	ENSG00000067715.15
Hepatocyte DEGs	ENSG00000142484.7
Macrophage DEGs	ENSG00000188672.19
Mig. cDC DEGs	ENSG00000110848.8
Monocyte DEGs	ENSG00000101439.9
Neutrophil DEGs	ENSG00000166947.15
Plasma cell DEGs	ENSG00000130208.10
cDC1 DEGs	ENSG00000204287.14
cDC2 DEGs	ENSG00000177954.14
pDC DEGs	ENSG00000128322.7
