ASPC	ENSG00000197614.11
SMC	ENSG00000111057.11
dendritic_cell	ENSG00000173369.18
endometrium	ENSG00000258753.1
endothelial	ENSG00000161649.14
macrophage	ENSG00000124107.5
mesothelium	ENSG00000170421.13
monocyte	ENSG00000081041.9
neutrophil	ENSG00000168685.15
nk_cell	ENSG00000172543.9
pericyte	ENSG00000185633.11
t_cell	ENSG00000235576.3
