Cardiomyocytes (Ventricular)	ENSG00000210135.1
Endothelial Cells (Arterial)	ENSG00000146674.16
Endothelial Cells (Capillary)	ENSG00000110799.14
Endothelial Cells (Venous)	ENSG00000185551.15
Fibroblasts	ENSG00000159403.18
Immune Cells (Macrophages)	ENSG00000173369.18
Immune Cells (Monocytes)	ENSG00000163221.9
Neuronal Cells	ENSG00000275302.2
Pericytes	ENSG00000004468.13
Smooth Muscle Cells (Basic)	ENSG00000118729.14
