ASPC	ENSG00000168477.21
LEC	ENSG00000169714.17
SMC	ENSG00000177469.13
b_cell	ENSG00000091490.11
dendritic_cell	ENSG00000196735.13
endothelial	ENSG00000069122.19
macrophage	ENSG00000153071.15
mast_cell	ENSG00000154269.15
monocyte	ENSG00000124882.4
neutrophil	ENSG00000169442.9
nk_cell	ENSG00000150045.12
t_cell	ENSG00000116824.5
