Bone marrow macrophage	ENSG00000142227.11
Effector memory CD8-positive, alpha-beta T cell	ENSG00000110848.8
Leukemic cell	ENSG00000130255.13
Macrophage dendritic cell progenitor	ENSG00000105993.15
Monocyte	ENSG00000110203.10
Neutrophil	ENSG00000204136.12
Non-classical monocyte	ENSG00000182685.8
Plasmablast	ENSG00000137776.17
Plasmacytoid dendritic cell	ENSG00000203875.13
Small pre B cell	ENSG00000270455.1
