AT2	ENSG00000138162.19
B	ENSG00000210082.2
Goblet	ENSG00000124107.5
ILC B	ENSG00000089327.15
Macrophage	ENSG00000130208.10
Mast	ENSG00000198886.2
Mesothelial	ENSG00000127922.10
Myofibroblast	ENSG00000163930.10
Pericytes	ENSG00000198899.2
T	ENSG00000198763.3
T Regulatory	ENSG00000198804.2
VE Capillary A	ENSG00000204525.18
VE Capillary B	ENSG00000206503.15
cDC2	ENSG00000198502.7
ncMonocyte	ENSG00000169554.23
