B cell	ENSG00000128218.8
Cancer-associated fibroblast	ENSG00000140092.16
Endothelial cell	ENSG00000130202.10
Fibroblast	ENSG00000147862.18
Macrophage	ENSG00000154589.7
Mast cell	ENSG00000168497.5
Monocyte	ENSG00000257017.10
Myofibroblast cell	ENSG00000161970.15
Natural killer cell	ENSG00000128340.16
Plasma cell	ENSG00000260675.1
T cell	ENSG00000182866.18
Tissue resident memory T cell	ENSG00000274841.1
