Adipocytes	ENSG00000163453.11
Cardiomyocytes (Ventricular)	ENSG00000078114.19
Endothelial Cells (Arterial)	ENSG00000172889.16
Endothelial Cells (Capillary)	ENSG00000164687.11
Endothelial Cells (Venous)	ENSG00000185551.15
Fibroblasts	ENSG00000112936.21
Immune Cells (Macrophages)	ENSG00000278931.1
Immune Cells (Monocytes)	ENSG00000170458.15
Smooth Muscle Cells (Basic)	ENSG00000143248.13
