Adipocytes	ENSG00000163453.11
Cardiomyocytes (Atrial)	ENSG00000175206.11
Cardiomyocytes (Ventricular)	ENSG00000106631.8
Endothelial Cells (Atrial)	ENSG00000113389.16
Endothelial Cells (Capillary)	ENSG00000108691.10
Fibroblasts	ENSG00000011465.18
Immune Cells (Monocytes)	ENSG00000172216.6
Pericytes	ENSG00000069431.14
Smooth Muscle Cells (Basic)	ENSG00000254417.1
