Adipocytes	ENSG00000158869.11
Cardiomyocytes (Atrial)	ENSG00000154582.18
Endothelial Cells (Arterial)	ENSG00000146674.16
Endothelial Cells (Capillary)	ENSG00000130595.20
Immune Cells (Macrophages)	ENSG00000173372.18
Immune Cells (Monocytes)	ENSG00000170458.15
Neuronal Cells	ENSG00000198821.12
Pericytes	ENSG00000004468.13
Smooth Muscle Cells (Basic)	ENSG00000109610.6
