B cell DEGs	ENSG00000077097.17
Circ. NK NKT cell DEGs	ENSG00000145649.8
Endothelial DEGs	ENSG00000133636.11
Fibroblast DEGs	ENSG00000166482.12
Macrophage DEGs	ENSG00000163631.19
Mig. cDC DEGs	ENSG00000223865.12
Monocyte DEGs	ENSG00000205358.4
Neutrophil DEGs	ENSG00000163220.11
T cell DEGs	ENSG00000134545.14
cDC1 DEGs	ENSG00000223865.12
cDC2 DEGs	ENSG00000172243.18
