Alpha-beta T cell	ENSG00000211899.10
B cell	ENSG00000019582.17
CD14-positive monocyte	ENSG00000158869.11
Erythroid progenitor cell	ENSG00000238035.8
Exhausted T cell	ENSG00000277130.1
Innate lymphoid cell	ENSG00000285215.3
Mucosal invariant T cell	ENSG00000251562.11
Myeloid cell	ENSG00000087086.15
Natural killer cell	ENSG00000105374.10
Platelet	ENSG00000154146.13
T-helper 1 cell	ENSG00000188185.13
