B cell DEGs	ENSG00000170476.16
Basophil DEGs	ENSG00000263961.8
Cholangiocyte DEGs	ENSG00000185222.10
Endothelial DEGs	ENSG00000128052.10
Hepatocyte DEGs	ENSG00000106803.10
Macrophage DEGs	ENSG00000244734.4
Mig. cDC DEGs	ENSG00000223865.12
Monocyte DEGs	ENSG00000121933.19
Neutrophil DEGs	ENSG00000011422.12
T cell DEGs	ENSG00000143184.5
cDC1 DEGs	ENSG00000196735.13
cDC2 DEGs	ENSG00000204257.15
