Adipocytes	ENSG00000163453.11
Cardiomyocytes (Ventricular)	ENSG00000118194.22
Endothelial Cells (Capillary)	ENSG00000204525.18
Endothelial Cells (Lymphatic)	ENSG00000198712.1
Endothelial Cells (Venous)	ENSG00000185551.15
Fibroblasts	ENSG00000141338.15
Immune Cells (Macrophages)	ENSG00000019582.17
Mesothelial Cells	ENSG00000231724.1
Pericytes	ENSG00000069431.14
Smooth Muscle Cells (Basic)	ENSG00000107796.14
