AT1	ENSG00000188931.4
Aberrant Basaloid	ENSG00000121552.4
Basal	ENSG00000187244.12
Ciliated	ENSG00000197168.14
Goblet	ENSG00000102854.16
ILC B	ENSG00000178913.9
Ionocyte	ENSG00000158825.6
Lymphatic	ENSG00000186081.12
Macrophage	ENSG00000115091.12
Mast	ENSG00000026508.21
PNEC	ENSG00000139180.11
SMC	ENSG00000186081.12
VE Arterial	ENSG00000057149.16
VE Capillary A	ENSG00000234745.14
VE Capillary B	ENSG00000186081.12
