Adipocytes	ENSG00000163453.11
Cardiomyocytes (Ventricular)	ENSG00000154556.20
Endothelial Cells (Arterial)	ENSG00000125968.9
Endothelial Cells (Venous)	ENSG00000185551.15
Fibroblasts	ENSG00000189058.9
Immune Cells (Macrophages)	ENSG00000019582.17
Immune Cells (Monocytes)	ENSG00000172216.6
Pericytes	ENSG00000069431.14
Smooth Muscle Cells (Basic)	ENSG00000143248.13
