Adipocytes	ENSG00000196569.14
Cardiomyocytes (Ventricular)	ENSG00000267784.1
Endothelial Cells (Atrial)	ENSG00000228055.3
Endothelial Cells (Capillary)	ENSG00000172889.16
Endothelial Cells (Venous)	ENSG00000074181.9
Fibroblasts	ENSG00000136546.17
Immune Cells (Macrophages)	ENSG00000166710.23
Pericytes	ENSG00000144642.22
Smooth Muscle Cells (Basic)	ENSG00000185633.11
