B cell DEGs	CD74
Basophil DEGs	CD63
Cholangiocyte DEGs	ZBTB20
Circ. NK NKT cell DEGs	PRF1
Endothelial DEGs	DNASE1L3
Fibroblast DEGs	CALD1
Macrophage DEGs	C1QB
Mig. cDC DEGs	TXN
Monocyte DEGs	TTR
Neutrophil DEGs	NEAT1
Res. NK cell DEGs	CMC1
T cell DEGs	IL32
cDC1 DEGs	SNX3
cDC2 DEGs	MT-TV
pDC DEGs	MT-TS1
