Adipocytes	ENSG00000123689.6
Cardiomyocytes (Ventricular)	ENSG00000143632.15
Endothelial Cells (Arterial)	ENSG00000234745.14
Endothelial Cells (Capillary)	ENSG00000159167.12
Endothelial Cells (Venous)	ENSG00000185551.15
Fibroblasts	ENSG00000132386.11
Immune Cells (Macrophages)	ENSG00000019582.17
Pericytes	ENSG00000069431.14
Smooth Muscle Cells (Basic)	ENSG00000113721.14
