B cell	ENSG00000204287.14,ENSG00000211899.10
Endothelial cell	ENSG00000131477.11,ENSG00000188643.11
Fibroblast	ENSG00000168542.18,ENSG00000139329.5
Macrophage	ENSG00000165457.15,ENSG00000153071.15
Melanocyte	ENSG00000271814.1,ENSG00000289112.2
Merkel cell carcinoma tumor cell	ENSG00000149294.18,ENSG00000254584.2
Myeloid cell	ENSG00000254584.2,ENSG00000119772.19
Pericyte	ENSG00000180209.12,ENSG00000175084.13
T cell	ENSG00000145649.8,ENSG00000172543.9
