Cardiomyocytes (Atrial)	ENSG00000175206.11
Cardiomyocytes (Ventricular)	ENSG00000172399.6
Endothelial Cells (Arterial)	ENSG00000131477.11
Endothelial Cells (Capillary)	ENSG00000162444.12
Fibroblasts	ENSG00000011465.18
Immune Cells (Macrophages)	ENSG00000223865.12
Immune Cells (Monocytes)	ENSG00000170458.15
Neuronal Cells	ENSG00000147588.7
Pericytes	ENSG00000105374.10
Smooth Muscle Cells (Basic)	ENSG00000172201.12
