Adipocytes	ENSG00000141338.15
Cardiomyocytes (Ventricular)	ENSG00000124743.6
Endothelial Cells (Capillary)	ENSG00000165949.13
Endothelial Cells (Venous)	ENSG00000113721.14
Fibroblasts	ENSG00000197766.9
Immune Cells (Macrophages)	ENSG00000234745.14
Mesothelial Cells	ENSG00000271245.1
Pericytes	ENSG00000113721.14
Smooth Muscle Cells (Basic)	ENSG00000143248.13
