Adipocytes	ENSG00000163453.11
Endothelial Cells (Capillary)	ENSG00000110799.14
Endothelial Cells (Venous)	ENSG00000135744.9
Fibroblasts	ENSG00000189058.9
Immune Cells (Macrophages)	ENSG00000204287.14
Immune Cells (Monocytes)	ENSG00000170458.15
Neuronal Cells	ENSG00000196154.12
Pericytes	ENSG00000109472.14
Smooth Muscle Cells (Basic)	ENSG00000140545.16
