B cell	ENSG00000019582.17
CD14-low, CD16-positive monocyte	ENSG00000204592.9
Circulating tumor cell	ENSG00000105379.10
Effector memory T cell	ENSG00000279714.1
Erythrocyte	ENSG00000223609.11
Memory B cell	ENSG00000189051.6
Myeloid cell	ENSG00000115540.15
Natural killer cell	ENSG00000116824.5
T cell	ENSG00000081237.21
