AT1	S100A10
Aberrant Basaloid	KRT19
Basal	MT-ND4L
Ciliated	DNAAF1
Club	MT-ATP8
DC Langerhans	HLA-DPB1
Goblet	CLDN4
ILC A	KLRD1
ILC B	IL7R
Ionocyte	MT-ND5
Lymphatic	MT-ND4L
Macrophage	PSAP
Macrophage Alveolar	CFD
Mast	RGS1
Mesothelial	MT-ND5
Myofibroblast	SAT1
NK	CCL5
PNEC	MT-ND5
T	CD3E
VE Capillary A	MTND2P28
VE Capillary B	LY96
cDC1	HLA-DPB1
cDC2	HLA-DQA1
cMonocyte	ACSL1
ncMonocyte	LGALS1
pDC	IL32
