Bone marrow macrophage	ENSG00000275350.1
CD8-positive, alpha-beta T cell	ENSG00000167978.19
Dendritic cell, human	ENSG00000140678.17
Erythroid precursor cell	ENSG00000173726.11
Leukemic cell	ENSG00000089327.15
Mature conventional dendritic cell	ENSG00000256637.9
Myeloid cell	ENSG00000288649.2
Naive thymus-derived CD8-positive, alpha-beta T cell	ENSG00000081059.20
Natural killer cell	ENSG00000105374.10
Plasmacytoid dendritic cell	ENSG00000136810.13
