Adipocytes	ENSG00000163453.11
Cardiomyocytes (Ventricular)	ENSG00000198523.6
Endothelial Cells (Venous)	ENSG00000185551.15
Fibroblasts	ENSG00000011465.18
Immune Cells (Macrophages)	ENSG00000231389.8
Immune Cells (Monocytes)	ENSG00000172216.6
Neuronal Cells	ENSG00000175445.17
Pericytes	ENSG00000069431.14
Smooth Muscle Cells (Basic)	ENSG00000143248.13
