Adipocytes	ENSG00000163453.11
Cardiomyocytes (Atrial)	ENSG00000228253.1
Cardiomyocytes (Ventricular)	ENSG00000160678.12
Endothelial Cells (Capillary)	ENSG00000165949.13
Endothelial Cells (Venous)	ENSG00000213088.14
Fibroblasts	ENSG00000148180.22
Immune Cells (Macrophages)	ENSG00000231389.8
Immune Cells (Monocytes)	ENSG00000172216.6
Pericytes	ENSG00000158859.10
Smooth Muscle Cells (Basic)	ENSG00000107796.14
