B cell DEGs	NIBAN3,BLNK
Basophil DEGs	TPSAB1,CPA3
Cholangiocyte DEGs	PEBP1,ANXA5
Endothelial DEGs	STC1,MID1
Fibroblast DEGs	PDGFRA,COL5A1
Hepatocyte DEGs	CFHR1,C5
Macrophage DEGs	RFESD,SLC2A1
Mig. cDC DEGs	HLA-DRB1,PLAC8
Monocyte DEGs	SNCA,HEMGN
Neutrophil DEGs	EPB42,RHCE
cDC1 DEGs	CD74,HLA-DRA
cDC2 DEGs	RPS27A,TPT1
