Adult endothelial progenitor cell	ENSG00000129474.17
Age-associated B cell	ENSG00000213699.9
B cell	ENSG00000177398.19
Cytotoxic T cell	ENSG00000261584.1
Dendritic cell	ENSG00000030582.19
Erythrocyte	ENSG00000206172.8
Leukemic cell	ENSG00000161640.15
Myeloid cell	ENSG00000184985.17
Natural killer cell	ENSG00000100453.14
Neutrophil	ENSG00000223629.1
Plasmacytoid dendritic cell	ENSG00000101439.9
Pro-T cell	ENSG00000089250.20
Progenitor cell	ENSG00000213272.5
T cell	ENSG00000160654.11
