AT1	ENSG00000197747.9
B	ENSG00000186081.12
Basal	ENSG00000115641.19
Ciliated	ENSG00000215187.13
DC Langerhans	ENSG00000204472.13
Goblet	ENSG00000078898.7
Ionocyte	ENSG00000115112.8
Lymphatic	ENSG00000187244.12
Macrophage	ENSG00000164733.23
Mast	ENSG00000234241.1
Myofibroblast	ENSG00000187244.12
SMC	ENSG00000128422.18
VE Arterial	ENSG00000168385.18
VE Capillary A	ENSG00000204592.9
VE Capillary B	ENSG00000271503.7
cDC1	ENSG00000204287.14
cDC2	ENSG00000204257.15
cMonocyte	ENSG00000057149.16
