Cardiomyocytes (Ventricular)	ENSG00000172399.6
Endothelial Cells (Arterial)	ENSG00000125968.9
Endothelial Cells (Capillary)	ENSG00000261371.6
Endothelial Cells (Lymphatic)	ENSG00000132507.18
Endothelial Cells (Venous)	ENSG00000185551.15
Fibroblasts	ENSG00000125730.18
Immune Cells (Macrophages)	ENSG00000231389.8
Immune Cells (Monocytes)	ENSG00000085265.12
Neuronal Cells	ENSG00000164626.9
Pericytes	ENSG00000003436.16
Smooth Muscle Cells (Basic)	ENSG00000133392.19
