Adipocytes	ENSG00000141338.15
Cardiomyocytes (Ventricular)	ENSG00000078814.19
Endothelial Cells (Arterial)	ENSG00000101384.12
Endothelial Cells (Capillary)	ENSG00000234745.14
Endothelial Cells (Venous)	ENSG00000127954.13
Fibroblasts	ENSG00000189058.9
Immune Cells (Monocytes)	ENSG00000172216.6
Mesothelial Cells	ENSG00000140416.26
Neuronal Cells	ENSG00000113721.14
Pericytes	ENSG00000004468.13
Smooth Muscle Cells (Basic)	ENSG00000164741.15
