Adipocytes	ENSG00000163453.11
Cardiomyocytes (Atrial)	ENSG00000228253.1
Cardiomyocytes (Ventricular)	ENSG00000172399.6
Endothelial Cells (Arterial)	ENSG00000185885.17
Endothelial Cells (Capillary)	ENSG00000065054.14
Endothelial Cells (Lymphatic)	ENSG00000271727.2
Fibroblasts	ENSG00000196616.15
Immune Cells (Macrophages)	ENSG00000223865.12
Immune Cells (Monocytes)	ENSG00000085265.12
Neuronal Cells	ENSG00000100387.9
Smooth Muscle Cells (Basic)	ENSG00000131055.5
