Adipocytes	IGFBP7
Cardiomyocytes (Atrial)	MT-ATP8
Cardiomyocytes (Ventricular)	MYOZ2
Endothelial Cells (Arterial)	IFITM1
Endothelial Cells (Capillary)	NHERF2
Endothelial Cells (Lymphatic)	ENSG00000271727.2
Fibroblasts	ADH1B
Immune Cells (Macrophages)	HLA-DPB1
Immune Cells (Monocytes)	FCN1
Neuronal Cells	RBX1
Smooth Muscle Cells (Basic)	COX4I2
