B cell DEGs	ENSG00000176533.13
Basophil DEGs	ENSG00000164120.14
Circ. NK NKT cell DEGs	ENSG00000133321.11
Endothelial DEGs	ENSG00000176907.5
Fibroblast DEGs	ENSG00000125977.7
Macrophage DEGs	ENSG00000250722.6
Mig. cDC DEGs	ENSG00000211899.10
Monocyte DEGs	ENSG00000145850.9
Neutrophil DEGs	ENSG00000115271.11
Plasma cell DEGs	ENSG00000124766.7
T cell DEGs	ENSG00000143184.5
cDC1 DEGs	ENSG00000169413.3
cDC2 DEGs	ENSG00000237541.4
pDC DEGs	ENSG00000119866.22
