Border-associated macrophage	ENSG00000099250.18
Brain pericyte	ENSG00000131097.7
Dopaminergic neuron	ENSG00000034510.6
Endothelial cell	ENSG00000149564.12
Excitatory neuron	ENSG00000164600.7
Inhibitory neuron	ENSG00000128683.14
Interneuron	ENSG00000251562.11
Macrophage	ENSG00000110651.13
Microglial cell	ENSG00000171223.6
Neuroblast (sensu Vertebrata)	ENSG00000289264.1
Stem cell	ENSG00000004534.15
