AT1	ENSG00000136153.21
Ciliated	ENSG00000144061.14
Goblet	ENSG00000117983.17
ILC B	ENSG00000175592.9
Ionocyte	ENSG00000172164.15
Mast	ENSG00000164086.10
Mesothelial	ENSG00000065618.21
Pericytes	ENSG00000167779.9
SMC	ENSG00000196924.19
VE Capillary B	ENSG00000166670.10
cMonocyte	ENSG00000256566.1
ncMonocyte	ENSG00000127824.15
