B cell	ENSG00000099958.15
Cancer stem cell	ENSG00000096088.16
Enterochromaffin-like cell	ENSG00000144815.18
Epithelial cell	ENSG00000170421.13
Foveolar cell of stomach	ENSG00000233041.8
Macrophage	ENSG00000204472.13
Parietal progenitor cell	ENSG00000135046.14
Proliferative cell	ENSG00000164032.12
T cell	ENSG00000167286.11
