Adipocytes	ENSG00000163453.11
Cardiomyocytes (Atrial)	ENSG00000117114.21
Cardiomyocytes (Ventricular)	ENSG00000154556.20
Endothelial Cells (Arterial)	ENSG00000101384.12
Endothelial Cells (Atrial)	ENSG00000113389.16
Endothelial Cells (Venous)	ENSG00000249669.12
Fibroblasts	ENSG00000011465.18
Immune Cells (Monocytes)	ENSG00000172216.6
Pericytes	ENSG00000249669.12
Smooth Muscle Cells (Basic)	ENSG00000143248.13
