Adipocytes	ENSG00000163453.11
Cardiomyocytes (Ventricular)	ENSG00000124743.6
Endothelial Cells (Capillary)	ENSG00000102760.13
Endothelial Cells (Venous)	ENSG00000185551.15
Fibroblasts	ENSG00000141338.15
Immune Cells (Macrophages)	ENSG00000169385.3
Immune Cells (Monocytes)	ENSG00000170458.15
Pericytes	ENSG00000069431.14
Smooth Muscle Cells (Basic)	ENSG00000107796.14
