Cardiomyocytes (Ventricular)	ENSG00000129170.10
Endothelial Cells (Arterial)	ENSG00000125968.9
Endothelial Cells (Capillary)	ENSG00000102760.13
Endothelial Cells (Lymphatic)	ENSG00000167552.16
Fibroblasts	ENSG00000109472.14
Immune Cells (Macrophages)	ENSG00000231389.8
Immune Cells (Monocytes)	ENSG00000158869.11
Neuronal Cells	ENSG00000196154.12
Pericytes	ENSG00000113721.14
Smooth Muscle Cells (Basic)	ENSG00000182492.16
