Adipocytes	ENSG00000270225.1
Cardiomyocytes (Atrial)	ENSG00000262902.1
Cardiomyocytes (Ventricular)	ENSG00000155657.29
Endothelial Cells (Capillary)	ENSG00000108691.10
Endothelial Cells (Venous)	ENSG00000213088.14
Fibroblasts	ENSG00000148180.22
Immune Cells (Macrophages)	ENSG00000231389.8
Immune Cells (Monocytes)	ENSG00000170458.15
Smooth Muscle Cells (Basic)	ENSG00000107796.14
