AT1	ENSG00000210184.1
Basal	ENSG00000210077.1
Ciliated	ENSG00000160838.14
DC Langerhans	ENSG00000204287.14
Fibroblast	ENSG00000164530.15
Goblet	ENSG00000254584.2
ILC A	ENSG00000107742.14
Ionocyte	ENSG00000117410.14
Lymphatic	ENSG00000169764.16
PNEC	ENSG00000145545.13
Pericytes	ENSG00000100097.12
SMC	ENSG00000198467.16
T	ENSG00000127152.18
VE Capillary A	ENSG00000204525.18
VE Capillary B	ENSG00000196628.20
VE Peribronchial	ENSG00000174175.17
ncMonocyte	ENSG00000138071.15
pDC	ENSG00000100354.22
