B cell	VPREB3
CD8-positive, alpha-beta T cell	CD8A
Dendritic cell, human	KLF4
Erythrocyte	HBQ1
Erythroid lineage cell	TSPO2
Exhausted T cell	ENSG00000250734.2
Hematopoietic cell	CCL5
Leukemia stem cell	MALAT1
Macrophage	LST1
Monocyte	CD14
Myeloid cell	MPO
Naive T cell	RN7SKP259
Naive thymus-derived CD8-positive, alpha-beta T cell	TCF7
Natural killer cell	PRF1
Neutrophil	PRSS57
Plasma cell	SPCS2
Plasmacytoid dendritic cell	CLIC3
Progenitor cell	MACROH2A1
T cell	LTB
