Adipocytes	ENSG00000163453.11
Cardiomyocytes (Ventricular)	ENSG00000148677.7
Endothelial Cells (Arterial)	ENSG00000293027.1
Endothelial Cells (Capillary)	ENSG00000102760.13
Fibroblasts	ENSG00000118849.10
Immune Cells (Macrophages)	ENSG00000204287.14
Immune Cells (Monocytes)	ENSG00000170458.15
Neuronal Cells	ENSG00000109046.15
Pericytes	ENSG00000121361.5
Smooth Muscle Cells (Basic)	ENSG00000010278.15
