Cardiomyocytes (Ventricular)	ENSG00000164309.15
Endothelial Cells (Arterial)	ENSG00000125968.9
Endothelial Cells (Capillary)	ENSG00000165949.13
Endothelial Cells (Venous)	ENSG00000074181.9
Fibroblasts	ENSG00000197766.9
Immune Cells (Macrophages)	ENSG00000019582.17
Immune Cells (Monocytes)	ENSG00000170458.15
Pericytes	ENSG00000069431.14
Smooth Muscle Cells (Basic)	ENSG00000107796.14
