AT1	IGFBP6
Aberrant Basaloid	KRT6A
B Plasma	CYP1B1
Basal	FOXQ1
Ciliated	EFHB
DC Langerhans	HLA-DRB1
DC Mature	COL17A1
Fibroblast	KRT15
Goblet	TMEM45A
ILC B	TP63
Ionocyte	CELF2
Macrophage Alveolar	RRP1B
Mast	FAT2
Mesothelial	CLDN1
NK	RARB
PNEC	PREPL
Pericytes	FLNA
SMC	DLK2
T	RPL6P9
VE Capillary B	TSLP
cDC1	RANP1
cMonocyte	GPX2
ncMonocyte	SERPINB4
pDC	TP63
