AT1	ENSG00000167779.9
Aberrant Basaloid	ENSG00000205420.11
B Plasma	ENSG00000138061.13
Basal	ENSG00000164379.7
Ciliated	ENSG00000163576.18
DC Langerhans	ENSG00000196126.12
DC Mature	ENSG00000065618.21
Fibroblast	ENSG00000171346.16
Goblet	ENSG00000181458.10
ILC B	ENSG00000073282.14
Ionocyte	ENSG00000048740.19
Macrophage Alveolar	ENSG00000160208.13
Mast	ENSG00000086570.13
Mesothelial	ENSG00000163347.6
NK	ENSG00000077092.20
PNEC	ENSG00000138078.16
Pericytes	ENSG00000196924.19
SMC	ENSG00000171462.15
T	ENSG00000242390.1
VE Capillary B	ENSG00000145777.15
cDC1	ENSG00000236603.2
cMonocyte	ENSG00000176153.13
ncMonocyte	ENSG00000206073.11
pDC	ENSG00000073282.14
