B cell DEGs	ENSG00000231389.8
Basophil DEGs	ENSG00000173432.13
Cholangiocyte DEGs	ENSG00000196975.16
Circ. NK NKT cell DEGs	ENSG00000115523.17
Endothelial DEGs	ENSG00000160339.16
Fibroblast DEGs	ENSG00000122786.20
Macrophage DEGs	ENSG00000087086.15
Mig. cDC DEGs	ENSG00000136810.13
Monocyte DEGs	ENSG00000130208.10
Plasma cell DEGs	ENSG00000173432.13
T cell DEGs	ENSG00000251562.11
cDC1 DEGs	ENSG00000112335.15
cDC2 DEGs	ENSG00000019582.17
