B cell DEGs	ENSG00000105369.10
Basophil DEGs	ENSG00000119865.9
Cholangiocyte DEGs	ENSG00000079557.5
Endothelial DEGs	ENSG00000169908.12
Macrophage DEGs	ENSG00000223865.12
Mig. cDC DEGs	ENSG00000204257.15
Monocyte DEGs	ENSG00000205358.4
Neutrophil DEGs	ENSG00000143546.10
T cell DEGs	ENSG00000150045.12
cDC1 DEGs	ENSG00000179344.17
