AT1	ENSG00000225972.1
Aberrant Basaloid	ENSG00000175984.16
Basal	ENSG00000171346.16
Ciliated	ENSG00000172771.13
DC Langerhans	ENSG00000223865.12
Fibroblast	ENSG00000115380.20
Goblet	ENSG00000117983.17
ILC A	ENSG00000198771.11
Ionocyte	ENSG00000104490.18
Mast	ENSG00000116741.8
SMC	ENSG00000196924.19
T	ENSG00000020633.19
VE Capillary A	ENSG00000204525.18
VE Capillary B	ENSG00000116016.14
VE Peribronchial	ENSG00000196628.20
cDC2	ENSG00000223865.12
cMonocyte	ENSG00000119535.20
pDC	ENSG00000185811.21
