B cell DEGs	ENSG00000289536.1
Basophil DEGs	ENSG00000140287.11
Circ. NK NKT cell DEGs	ENSG00000198668.14
Endothelial DEGs	ENSG00000136011.15
Macrophage DEGs	ENSG00000173372.18
Mig. cDC DEGs	ENSG00000196735.13
Monocyte DEGs	ENSG00000125144.14
Neutrophil DEGs	ENSG00000018280.18
Plasma cell DEGs	ENSG00000128218.8
T cell DEGs	ENSG00000182866.18
cDC1 DEGs	ENSG00000196735.13
cDC2 DEGs	ENSG00000196735.13
pDC DEGs	ENSG00000135916.16
