Adipocytes	IGFBP7
Cardiomyocytes (Atrial)	MT-TA
Cardiomyocytes (Ventricular)	MYBPC3
Endothelial Cells (Arterial)	NHERF2
Endothelial Cells (Capillary)	IFI27
Fibroblasts	ENSG00000289089.1
Immune Cells (Macrophages)	HLA-DRA
Immune Cells (Monocytes)	FCER1G
Neuronal Cells	BTG1
Pericytes	NDUFA4L2
Smooth Muscle Cells (Basic)	RGS5
